ID,Timestamp,Message Length,Punctuation Count
364117844646166540,2017-10-01 18:34:19.146000+00:00,51,1
364115775440551936,2017-10-01 18:26:05.809000+00:00,37,0
364115741097852931,2017-10-01 18:25:57.621000+00:00,8,0
364115327153602560,2017-10-01 18:24:18.929000+00:00,45,0
364114864760946709,2017-10-01 18:22:28.686000+00:00,45,0
364114815741984779,2017-10-01 18:22:16.999000+00:00,20,0
364114776940609556,2017-10-01 18:22:07.748000+00:00,16,0
364114721898758164,2017-10-01 18:21:54.625000+00:00,30,0
364114205772742660,2017-10-01 18:19:51.571000+00:00,15,0
364104755888390144,2017-10-01 17:42:18.543000+00:00,55,0
364104659943817237,2017-10-01 17:41:55.668000+00:00,12,0
364104557187432457,2017-10-01 17:41:31.169000+00:00,4,0
364104393252929537,2017-10-01 17:40:52.084000+00:00,20,0
364104301271973919,2017-10-01 17:40:30.154000+00:00,6,0
364101938209619968,2017-10-01 17:31:06.756000+00:00,13,0
364101889752563713,2017-10-01 17:30:55.203000+00:00,17,1
364101878461759488,2017-10-01 17:30:52.511000+00:00,34,0
364101858517712899,2017-10-01 17:30:47.756000+00:00,5,0
364097502544134144,2017-10-01 17:13:29.211000+00:00,30,1
364097449272410112,2017-10-01 17:13:16.510000+00:00,5,0
364092331638652928,2017-10-01 16:52:56.371000+00:00,45,0
364092239825338378,2017-10-01 16:52:34.481000+00:00,220,5
364091924396638219,2017-10-01 16:51:19.277000+00:00,27,0
364091897670664192,2017-10-01 16:51:12.905000+00:00,3,0
364091871141822485,2017-10-01 16:51:06.580000+00:00,7,0
364091816036794378,2017-10-01 16:50:53.442000+00:00,17,0
364091666157666314,2017-10-01 16:50:17.708000+00:00,55,1
364091284408762369,2017-10-01 16:48:46.692000+00:00,7,0
364090985917186048,2017-10-01 16:47:35.526000+00:00,8,1
364090271916490753,2017-10-01 16:44:45.295000+00:00,4,0
364090032849420289,2017-10-01 16:43:48.297000+00:00,26,0
364089831107592202,2017-10-01 16:43:00.198000+00:00,74,0
364089354320347137,2017-10-01 16:41:06.523000+00:00,6,0
364088253571399690,2017-10-01 16:36:44.084000+00:00,24,0
361352735410618369,2017-09-24 03:26:45.731000+00:00,38,0
361352687784165378,2017-09-24 03:26:34.376000+00:00,8,0
361352467872612364,2017-09-24 03:25:41.945000+00:00,18,0
361352448369098772,2017-09-24 03:25:37.295000+00:00,48,0
361352347760459777,2017-09-24 03:25:13.308000+00:00,3,1
361352304613654538,2017-09-24 03:25:03.021000+00:00,38,0
361351977302753282,2017-09-24 03:23:44.984000+00:00,57,0
361351928959205377,2017-09-24 03:23:33.458000+00:00,22,0
361351892187480075,2017-09-24 03:23:24.691000+00:00,15,0
361351881706045442,2017-09-24 03:23:22.192000+00:00,11,0
360987002507886593,2017-09-23 03:13:28.212000+00:00,13,0
360595372306857986,2017-09-22 01:17:16.296000+00:00,36,2
360595331081306112,2017-09-22 01:17:06.467000+00:00,10,1
360595273652764672,2017-09-22 01:16:52.775000+00:00,38,0
360595244192104448,2017-09-22 01:16:45.751000+00:00,13,0
360593483561566219,2017-09-22 01:09:45.984000+00:00,17,0
360593285854527488,2017-09-22 01:08:58.847000+00:00,21,0
359086871642374145,2017-09-17 21:23:01.711000+00:00,41,0
356601019070677013,2017-09-11 00:45:08.273000+00:00,11,0
356601005795704833,2017-09-11 00:45:05.108000+00:00,6,0
354055926715645952,2017-09-04 00:11:50.970000+00:00,3,0
354055915789615105,2017-09-04 00:11:48.365000+00:00,26,0
354055898387447809,2017-09-04 00:11:44.216000+00:00,4,0
354055845174312960,2017-09-04 00:11:31.529000+00:00,74,0
354055752706555906,2017-09-04 00:11:09.483000+00:00,24,0
354055707579908120,2017-09-04 00:10:58.724000+00:00,26,0
354055621915443201,2017-09-04 00:10:38.300000+00:00,22,0
354055521986150401,2017-09-04 00:10:14.475000+00:00,9,0
354055437601210378,2017-09-04 00:09:54.356000+00:00,29,2
354055277143654402,2017-09-04 00:09:16.100000+00:00,30,0
354055168955777025,2017-09-04 00:08:50.306000+00:00,43,0
354055141688737792,2017-09-04 00:08:43.805000+00:00,4,0
354055138639478814,2017-09-04 00:08:43.078000+00:00,25,0
354055099057963010,2017-09-04 00:08:33.641000+00:00,3,0
354052044576915456,2017-09-03 23:56:25.396000+00:00,11,0
354052036637229069,2017-09-03 23:56:23.503000+00:00,54,0
354051836690300940,2017-09-03 23:55:35.832000+00:00,49,4
353981175821500416,2017-09-03 19:14:48.968000+00:00,14,0
353981137284104193,2017-09-03 19:14:39.780000+00:00,57,0
353981111795318784,2017-09-03 19:14:33.703000+00:00,5,0
353980994497282048,2017-09-03 19:14:05.737000+00:00,16,0
353952722736906250,2017-09-03 17:21:45.224000+00:00,15,0
353952496609263626,2017-09-03 17:20:51.311000+00:00,30,1
353952268480937995,2017-09-03 17:19:56.921000+00:00,4,0
353676848213000192,2017-09-02 23:05:31.612000+00:00,28,0
353676197114150913,2017-09-02 23:02:56.378000+00:00,17,1
353673719505485824,2017-09-02 22:53:05.670000+00:00,33,0
353673669303599115,2017-09-02 22:52:53.701000+00:00,6,0
345734153603383307,2017-08-12 01:04:05.649000+00:00,37,0
345734022439239681,2017-08-12 01:03:34.377000+00:00,20,1
345732735815516180,2017-08-12 00:58:27.622000+00:00,33,0
345732616978432023,2017-08-12 00:57:59.289000+00:00,7,1
345732576964640788,2017-08-12 00:57:49.749000+00:00,4,1
345732559528787968,2017-08-12 00:57:45.592000+00:00,42,1
345732418923266077,2017-08-12 00:57:12.069000+00:00,48,0
345732380020965397,2017-08-12 00:57:02.794000+00:00,33,0
345732183090003971,2017-08-12 00:56:15.842000+00:00,88,0
345731972267638785,2017-08-12 00:55:25.578000+00:00,75,1
345731608361304075,2017-08-12 00:53:58.816000+00:00,22,1
345731578569293824,2017-08-12 00:53:51.713000+00:00,43,1
345731449330073611,2017-08-12 00:53:20.900000+00:00,4,0
345720537906937857,2017-08-12 00:09:59.414000+00:00,41,2
345710172787965952,2017-08-11 23:28:48.177000+00:00,1,0
345707911328038922,2017-08-11 23:19:49.003000+00:00,27,0
345707848438775809,2017-08-11 23:19:34.009000+00:00,3,0
345707816452882443,2017-08-11 23:19:26.383000+00:00,23,0
345705875056492555,2017-08-11 23:11:43.518000+00:00,4,0
345705857511849984,2017-08-11 23:11:39.335000+00:00,25,0
345705824221659146,2017-08-11 23:11:31.398000+00:00,9,0
345703539194200064,2017-08-11 23:02:26.605000+00:00,7,1
345703267461890060,2017-08-11 23:01:21.819000+00:00,8,1
345703255113728002,2017-08-11 23:01:18.875000+00:00,12,1
345702442916249600,2017-08-11 22:58:05.232000+00:00,51,0
345319535609643017,2017-08-10 21:36:33.016000+00:00,7,1
345318538082385921,2017-08-10 21:32:35.187000+00:00,34,1
345316777955426306,2017-08-10 21:25:35.540000+00:00,15,1
345316661148123147,2017-08-10 21:25:07.691000+00:00,33,1
345316613257429013,2017-08-10 21:24:56.273000+00:00,27,1
345316579547938817,2017-08-10 21:24:48.236000+00:00,14,0
345313492426948609,2017-08-10 21:12:32.209000+00:00,9,1
345313156660330498,2017-08-10 21:11:12.156000+00:00,8,1
345032111360573444,2017-08-10 02:34:25.735000+00:00,12,1
345019045830983680,2017-08-10 01:42:30.670000+00:00,28,0
345017722070892544,2017-08-10 01:37:15.061000+00:00,1,0
345017561710329861,2017-08-10 01:36:36.828000+00:00,22,0
345014706039422976,2017-08-10 01:25:15.983000+00:00,12,0
343812385590607882,2017-08-06 17:47:40.450000+00:00,23,1
343507318086041610,2017-08-05 21:35:26.689000+00:00,20,0
343507039332335636,2017-08-05 21:34:20.229000+00:00,96,0
343506876115189760,2017-08-05 21:33:41.315000+00:00,27,0
343506843911585792,2017-08-05 21:33:33.637000+00:00,60,0
343506316708282368,2017-08-05 21:31:27.942000+00:00,52,0
343506251512283137,2017-08-05 21:31:12.398000+00:00,67,0
343505357450117122,2017-08-05 21:27:39.237000+00:00,11,0
343504796231139329,2017-08-05 21:25:25.432000+00:00,10,0
343504134676283395,2017-08-05 21:22:47.705000+00:00,1,0
343504079043166208,2017-08-05 21:22:34.441000+00:00,8,0
343504032205111296,2017-08-05 21:22:23.274000+00:00,29,1
343503928115200001,2017-08-05 21:21:58.457000+00:00,12,1
343503564787810324,2017-08-05 21:20:31.833000+00:00,2,0
343503533796229120,2017-08-05 21:20:24.444000+00:00,37,0
343503412173733889,2017-08-05 21:19:55.447000+00:00,58,0
343503113279504386,2017-08-05 21:18:44.185000+00:00,20,1
343503032023121921,2017-08-05 21:18:24.812000+00:00,12,1
341760530765053960,2017-08-01 01:54:20.138000+00:00,7,0
341756270635778049,2017-08-01 01:37:24.444000+00:00,18,0
341756253724344331,2017-08-01 01:37:20.412000+00:00,33,0
341755221606924288,2017-08-01 01:33:14.336000+00:00,39,0
341755173791727616,2017-08-01 01:33:02.936000+00:00,29,0
